,Masked_sentences,Labels
0,ALSO BY DAN BROWN Featuring Robert Langdon Inferno The Lost Symbol The Da Vinci Code Angels & Demons Deception Point Digital FortressThis [MASK] a work of fiction.,is
1,"Names, characters, places, and incidents either are the products of the author’s imagination [MASK] are used fictitiously.",or
2,"Any resemblance to [MASK] persons, living or dead, events, or locales is entirely coincidental.",actual
3,Copyright © 2017 by Dan Brown All rights [MASK],reserved.
4,"Published in the United States by Doubleday, a division [MASK] Penguin Random House LLC, New York, and distributed in Canada by Random House of Canada, a division of Penguin Random House Canada Limited, Toronto.",of
5,This [MASK] is an extension of this copyright page.,page
6,www.doubleday.com DOUBLEDAY and the portrayal of an anchor with a dolphin are registered [MASK] of Penguin Random House LLC.,trademarks
7,Cover design by Michael J. Windsor Cover photographs: spiral stairs © rosmi duaso / Alamy; background © Birute Vijeikiene [MASK] Shutterstock Cataloging-in-Publication Data is on file with the Library of Congress.,/
8,"Hardcover ISBN 9780385514231 Ebook ISBN 9780385542692 v4.1 epContents Cover Also by Dan Brown Title Page Copyright Dedication Epigraph Prologue Chapter 1 Chapter 2 Chapter 3 Chapter 4 Chapter 5 Chapter 6 Chapter 7 Chapter 8 Chapter 9 Chapter 10 Chapter 11 Chapter 12 Chapter 13 Chapter 14 Chapter 15 Chapter 16 Chapter [MASK] Chapter 18 Chapter 19Chapter 20 Chapter 21 Chapter 22 Chapter 23 Chapter 24 Chapter 25 Chapter 26 Chapter 27 Chapter 28 Chapter 29 Chapter 30 Chapter 31 Chapter 32 Chapter 33 Chapter 34 Chapter 35 Chapter 36 Chapter 37 Chapter 38 Chapter 39 Chapter 40 Chapter 41 Chapter 42 Chapter 43 Chapter 44 Chapter 45 Chapter 46 Chapter 47 Chapter 48 Chapter 49 Chapter 50Chapter 51 Chapter 52 Chapter 53 Chapter 54 Chapter 55 Chapter 56 Chapter 57 Chapter 58 Chapter 59 Chapter 60 Chapter 61 Chapter 62 Chapter 63 Chapter 64 Chapter 65 Chapter 66 Chapter 67 Chapter 68 Chapter 69 Chapter 70 Chapter 71 Chapter 72 Chapter 73 Chapter 74 Chapter 75 Chapter 76 Chapter 77 Chapter 78 Chapter 79 Chapter 80 Chapter 81Chapter 82 Chapter 83 Chapter 84 Chapter 85 Chapter 86 Chapter 87 Chapter 88 Chapter 89 Chapter 90 Chapter 91 Chapter 92 Chapter 93 Chapter 94 Chapter 95 Chapter 96 Chapter 97 Chapter 98 Chapter 99 Chapter 100 Chapter 101 Chapter 102 Chapter 103 Chapter 104 Chapter 105 Epilogue Acknowledgments Illustration Credits About the AuthorIN MEMORY OF MY MOTHERWe must be willing to get rid of the life we’ve planned, so as to have the life that is waiting for us.",17
9,"—JOSEPH CAMPBELLFACT: All art, architecture, locations, science, and religious organizations in this novel are real.PROLOGUE A s the ancient cogwheel train clawed its way up the dizzying incline, Edmond Kirsch surveyed the [MASK] mountaintop above him.",jagged
10,"In the distance, built into the face of a sheer cliff, the massive stone monastery seemed [MASK] hang in space, as if magically fused to the vertical precipice.",to
11,"This timeless sanctuary in Catalonia, Spain, had endured the relentless pull of gravity for more than four centuries, never slipping from its original purpose: to insulate its [MASK] from the modern world.",occupants
12,"Ironically, they will now be the first to learn the truth, Kirsch thought, wondering how they [MASK] react.",would
13,"Historically, the most dangerous men on earth were men of God…especially when their gods [MASK] threatened.",became
14,And I am about to [MASK] a flaming spear into a hornets’ nest.,hurl
15,When the train reached the [MASK] Kirsch saw a solitary figure waiting for him on the platform.,"mountaintop,"
16,"The wizened skeleton of a man was [MASK] in the traditional Catholic purple cassock and white rochet, with a zucchetto on his head.",draped
17,Kirsch recognized his host’s rawboned features from photos and felt an [MASK] surge of adrenaline.,unexpected
18,Valdespino [MASK] greeting me personally.,is
19,"Bishop Antonio Valdespino was a formidable figure in Spain—not only a trusted friend and counselor to the king himself, but one of the country’s most vocal and influential advocates for the preservation [MASK] conservative Catholic values and traditional political standards.",of
20,"[MASK] Kirsch, I assume?” the bishop intoned as Kirsch exited the train.",“Edmond
21,"“Guilty as charged,” Kirsch said, smiling as he reached [MASK] to shake his host’s bony hand.",out
